取引ID,取引日時,銘柄コード,市場,銘柄名,取引種別,株数,単価,取引金額,手数料,税金,投資方針,理由,メモ
T0001,2026-06-27 10:10,135A,東証G,VRAIN Solution,BUY,100,3985,398500,,,スイング,AI関連テーマ初期テスト,テスト約定
T0002,2026-06-27 10:10,6324,東証P,ハーモニック・ドライブ・システムズ,BUY,100,7100,710000,,,スイング,ロボット関連テーマ初期テスト,テスト約定
T0003,2026-06-27 10:10,6616,東証S,トレックス・セミコンダクター,BUY,100,2611,261100,,,スイング,半導体関連テーマ初期テスト,テスト約定
T0004,2026-06-27 10:12,SPCX,米国,SpaceX,BUY,30,161,4830,,,IPO初動,IPO初動・宇宙関連テーマ,テスト約定
T0005,2026-06-30 10:15,6324,東証P,ハーモニック・ドライブ・システムズ,BUY,6,7200,43200,,,スイング,ロボット関連テーマ買い,テスト約定
T0006,2026-06-30 10:15,6616,東証S,トレックス・セミコンダクター,BUY,18,2650,47700,,,スイング,半導体AI関連テーマ買い,テスト約定
T0007,2026-06-30 10:15,135A,東証G,VRAIN Solution,BUY,11,3950,43450,,,スイング,AI関連テーマ買い,テスト約定
T0008,2026-06-30 09:45,9697,東証P,カプコン,BUY,12,4100,49200,,,スイング,AI・デジタル戦略分野・ゲーム業界成長テーマ買い,テスト約定
T0009,2026-06-30 09:48,7731,東証P,ニコン,BUY,9,5350,48150,,,スイング,半導体製造装置・高市戦略分野買い,テスト約定
T0010,2026-06-30 09:50,4689,東証P,ヤフー,BUY,15,3200,48000,,,スイング,AI広告・デジタル決済テーマ買い,テスト約定
T0011,2026-06-30 00:00,135A,東証G,VRAIN Solution,SELL,100,3985,398500,,,スイング,元本50万円・ミニ株ルール導入のため整理,損益なしクローズ
T0012,2026-06-30 00:00,6324,東証P,ハーモニック・ドライブ・システムズ,SELL,100,7100,710000,,,スイング,元本50万円・ミニ株ルール導入のため整理,損益なしクローズ
T0013,2026-06-30 00:00,6616,東証S,トレックス・セミコンダクター,SELL,100,2611,261100,,,スイング,元本50万円・ミニ株ルール導入のため整理,損益なしクローズ
T0014,2026-06-30 00:00,SPCX,米国,SpaceX,SELL,30,153.23,4596.9,,,IPO初動,元本50万円・ミニ株ルール導入のため整理,実現損益-233.1ドル
